VAR,Variable,UNIT,Measure,Country,Year,Value
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Denmark,2011,129.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Denmark,2012,129.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Denmark,2013,131.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Denmark,2014,131.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Denmark,2015,131.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Denmark,2016,133.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Denmark,2017,133.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Denmark,2018,136.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Denmark,2019,145.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Denmark,2020,144.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Finland,2010,133.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Finland,2011,137.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Finland,2012,141.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Finland,2013,141.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Finland,2014,142.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Finland,2015,140.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Finland,2016,140.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Finland,2017,139.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Finland,2018,140.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Finland,2019,131.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Finland,2020,139.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,France,2010,162.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,France,2011,160.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,France,2012,156.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,France,2013,158.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,France,2014,149.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,France,2015,148.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,France,2016,149.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,France,2017,149.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,France,2018,149.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,France,2019,153.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,France,2020,152.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Germany,2010,144.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Germany,2011,145.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Germany,2012,144.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Germany,2013,141.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Germany,2014,142.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Germany,2015,143.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Germany,2016,145.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Germany,2017,146.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Germany,2018,151.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Germany,2019,164.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Germany,2020,164.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Greece,2010,152.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Greece,2011,154.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Greece,2012,149.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Greece,2013,147
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Greece,2014,152.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Greece,2015,148.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Greece,2016,147.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Greece,2017,149
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Greece,2018,153.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Greece,2019,161.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Greece,2020,155.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Hungary,2010,136.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Hungary,2011,136
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Hungary,2012,132.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Hungary,2013,137.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Hungary,2014,138.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Hungary,2015,147.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Hungary,2016,149.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Hungary,2017,152
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Hungary,2018,157.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Hungary,2019,148.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Hungary,2020,151.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Iceland,2010,145.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Iceland,2011,147.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Iceland,2012,148.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Iceland,2013,152.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Iceland,2014,158.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Iceland,2015,164.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Iceland,2016,164.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Iceland,2017,168.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Iceland,2018,166.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Iceland,2019,176.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Iceland,2020,175
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Ireland,2010,130.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Ireland,2011,130.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Ireland,2012,130.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Ireland,2013,126.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Ireland,2014,131.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Ireland,2015,136.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Ireland,2016,135.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Ireland,2017,149
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Ireland,2018,148.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Ireland,2019,149
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Ireland,2020,162.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Italy,2010,156.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Italy,2011,157.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Italy,2012,157.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Italy,2013,154.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Italy,2014,148.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Italy,2015,146
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Italy,2016,146.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Italy,2017,146.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Italy,2018,145.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Italy,2019,149.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Italy,2020,153.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Japan,2010,86.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Japan,2011,85.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Japan,2012,86.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Japan,2013,86.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Japan,2014,87.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Japan,2015,87.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Japan,2016,86.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Japan,2017,89.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Japan,2018,89.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Japan,2019,91.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Japan,2020,90.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Korea,2010,101
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Korea,2011,98.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Korea,2012,103.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Korea,2013,102.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Korea,2014,109.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Korea,2015,112.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Korea,2016,113.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Korea,2017,116.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Korea,2018,119.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Korea,2019,124.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Korea,2020,126.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Luxembourg,2010,140.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Luxembourg,2011,137.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Luxembourg,2012,140.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Luxembourg,2013,141.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Luxembourg,2014,138
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Luxembourg,2015,139.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Luxembourg,2016,140.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Luxembourg,2017,142
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Luxembourg,2018,143.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Luxembourg,2019,149.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Luxembourg,2020,142.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Mexico,2010,96.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Mexico,2011,96.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Mexico,2012,97.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Mexico,2013,97.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Mexico,2014,97.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Mexico,2015,98.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Mexico,2016,100.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Mexico,2017,101
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Mexico,2018,103.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Mexico,2019,105.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Mexico,2020,103.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Netherlands,2010,125
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Netherlands,2011,122.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Netherlands,2012,124.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Netherlands,2013,125.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Netherlands,2014,126.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Netherlands,2015,128
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Netherlands,2016,130.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Netherlands,2017,126.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Netherlands,2018,139.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Netherlands,2019,134.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Netherlands,2020,140.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,New Zealand,2010,116.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,New Zealand,2011,132.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,New Zealand,2012,119.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,New Zealand,2013,124.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,New Zealand,2014,114.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,New Zealand,2015,113.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,New Zealand,2016,114
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,New Zealand,2017,113.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,New Zealand,2018,118.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,New Zealand,2019,117
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,New Zealand,2020,122.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Norway,2010,143.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Norway,2011,144.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Norway,2012,143.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Norway,2013,140.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Norway,2014,143.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Norway,2015,142.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Norway,2016,142
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Norway,2017,138.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Norway,2018,137.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Norway,2019,138.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Norway,2020,135.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Poland,2010,121
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Poland,2011,124.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Poland,2012,123.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Poland,2013,118.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Poland,2014,119.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Poland,2015,122.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Poland,2016,123.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Poland,2017,124.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Poland,2018,128
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Poland,2019,129.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Poland,2020,133.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Portugal,2010,138.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Portugal,2011,139.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Portugal,2012,135.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Portugal,2013,134.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Portugal,2014,133.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Portugal,2015,138.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Portugal,2016,134
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Portugal,2017,134
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Portugal,2018,138
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Portugal,2019,146.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Portugal,2020,147.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Slovak Republic,2010,115.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Slovak Republic,2011,114.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Slovak Republic,2012,114.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Slovak Republic,2013,120.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Slovak Republic,2014,118.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Slovak Republic,2015,120.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Slovak Republic,2016,127
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Slovak Republic,2017,135.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Slovak Republic,2018,139.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Slovak Republic,2019,149
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Slovak Republic,2020,149.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Spain,2010,143.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Spain,2011,144
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Spain,2012,143.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Spain,2013,143.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Spain,2014,141.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Spain,2015,147.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Spain,2016,149.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Spain,2017,152.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Spain,2018,152.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Spain,2019,153.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Spain,2020,155.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Sweden,2010,129.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Sweden,2011,132.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Sweden,2012,134.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Sweden,2013,130.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Sweden,2014,135
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Sweden,2015,136.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Sweden,2016,138
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Sweden,2017,135
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Sweden,2018,132.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Sweden,2019,131.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Sweden,2020,134.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Switzerland,2010,156.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Switzerland,2011,158.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Switzerland,2012,151.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Switzerland,2013,153.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Switzerland,2014,156.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Switzerland,2015,159.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Switzerland,2016,155.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Switzerland,2017,154.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Switzerland,2018,157.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Switzerland,2019,158.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Switzerland,2020,160.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Türkiye,2010,111.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Türkiye,2011,114.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Türkiye,2012,119.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Türkiye,2013,120.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Türkiye,2014,117.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Türkiye,2015,121.3
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Türkiye,2016,119.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Türkiye,2017,123.1
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Türkiye,2018,125.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Türkiye,2019,126.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,Türkiye,2020,125.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United Kingdom,2010,143.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United Kingdom,2011,139
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United Kingdom,2012,139.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United Kingdom,2013,139.4
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United Kingdom,2014,138.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United Kingdom,2015,139.6
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United Kingdom,2016,137.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United Kingdom,2017,139.8
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United Kingdom,2018,139
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United Kingdom,2019,144.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United Kingdom,2020,145.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United States,2010,159.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United States,2011,161.7
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United States,2012,162.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United States,2013,161.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United States,2014,163.2
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United States,2015,164.9
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United States,2016,166.5
FOODTFAT,Total fat supply,PROPERQT,Grams per capita per day,United States,2017,168
